Average_Mass,Sum_Intensity,Number_of_Charge_States,Number_of_Detected_Intervals,Relative_Abundance,Fractional_Abundance,Scan_Range,RT_Range,Apex_RT
32966.983860,11804517.75,17,4,0.3507,0.0887,2706-2836,5.155-5.403,5.304
32836.490005,11753425.50,14,3,0.3492,0.0883,2706-2810,5.155-5.354,5.254
26230.748167,11711154.88,14,4,0.3480,0.0880,2076-2206,3.955-4.203,4.054
20295.756790,11698044.53,12,11,0.3476,0.0879,6149-6701,11.700-12.750,11.750
32694.230058,11384696.75,16,3,0.3383,0.0855,2706-2810,5.155-5.354,5.254
40653.520690,10911301.09,24,10,0.3242,0.0820,6728-7121,12.800-13.550,13.400
27572.078373,10871374.13,10,4,0.3230,0.0817,1735-1865,3.305-3.553,3.404
28029.098056,10869629.50,15,3,0.3230,0.0817,1630-1734,3.105-3.303,3.204
28851.474362,10838525.00,16,3,0.3220,0.0814,1552-1655,2.956-3.152,3.055
28184.415710,10835498.00,15,4,0.3220,0.0814,1604-1734,3.055-3.303,3.154
20238.201855,10768568.00,12,5,0.3200,0.0809,5965-6201,11.350-11.800,11.750
33175.781662,10690535.63,16,3,0.3176,0.0803,2679-2783,5.104-5.303,5.204
27629.912707,10582407.75,13,6,0.3144,0.0795,1552-1865,2.956-3.553,3.404
25918.756865,10476681.75,14,3,0.3113,0.0787,2076-2180,3.955-4.153,4.054
19007.897396,9556637.25,11,3,0.2840,0.0718,4784-4914,9.105-9.353,9.304
19009.550952,9258377.13,10,3,0.2751,0.0695,4097-4411,7.805-8.403,8.304
29139.618631,8941296.25,14,3,0.2657,0.0672,1525-1629,2.904-3.103,2.954
25416.120414,8835374.13,11,4,0.2625,0.0664,3887-4017,7.405-7.652,7.555
26475.329552,8764154.88,12,7,0.2604,0.0658,3414-3807,6.504-7.252,7.055
26263.186753,8459563.31,14,5,0.2514,0.0635,1866-2127,3.555-4.053,3.954
20325.860045,8193324.94,9,5,0.2434,0.0615,5388-5544,10.260-10.550,10.400
29254.758750,7497692.38,18,3,0.2228,0.0563,1499-1682,2.855-3.204,3.055
18412.007724,7272493.00,10,3,0.2161,0.0546,4307-4411,8.205-8.403,8.304
26047.258991,7182094.88,13,3,0.2134,0.0540,2023-2154,3.854-4.104,4.004
16363.039877,7073364.88,9,5,0.2102,0.0531,3520-3702,6.706-7.053,6.904
28454.006973,6980590.38,13,3,0.2074,0.0524,1578-1682,3.006-3.204,3.154
20377.668750,6909442.63,12,5,0.2053,0.0519,5834-6043,11.100-11.500,11.300
28853.748212,6463666.63,15,3,0.1921,0.0486,1473-1577,2.806-3.003,2.904
20194.886001,6391250.31,10,6,0.1899,0.0480,5677-5886,10.810-11.200,11.000
28937.421217,6375153.38,13,3,0.1894,0.0479,1499-1603,2.855-3.054,2.954
18945.675551,6207929.06,9,5,0.1845,0.0466,4438-4809,8.454-9.153,8.504
19399.368454,6149511.75,10,4,0.1827,0.0462,6518-6649,12.400-12.650,12.500
33435.802043,6142484.75,11,3,0.1825,0.0461,2679-2783,5.104-5.303,5.204
20376.257261,6124369.50,11,5,0.1820,0.0460,5703-6069,10.860-11.550,11.500
32234.775022,5969261.44,12,4,0.1774,0.0448,2784-2914,5.305-5.552,5.404
19758.429386,5869710.88,9,3,0.1744,0.0441,5703-6096,10.860-11.600,10.900
25789.980904,5832768.50,9,3,0.1733,0.0438,2128-2232,4.054-4.252,4.154
16731.288985,5432081.19,9,4,0.1614,0.0408,3362-3492,6.405-6.653,6.504
18678.780167,5259323.94,8,6,0.1563,0.0395,4281-4464,8.155-8.504,8.304
37953.817272,5208658.00,25,3,0.1548,0.0391,5230-5334,9.954-10.150,10.050
33192.479712,5189847.88,15,3,0.1542,0.0390,2653-2757,5.055-5.252,5.204
25546.148950,5074048.03,13,4,0.1508,0.0381,3808-3965,7.254-7.554,7.454
27771.437899,4851595.13,12,3,0.1442,0.0364,1919-2285,3.656-4.354,3.754
20253.856547,4689312.56,10,5,0.1393,0.0352,6044-6439,11.500-12.250,11.650
25657.817699,4409499.13,13,4,0.1310,0.0331,3861-3991,7.355-7.603,7.505
19010.689236,4308267.31,10,3,0.1280,0.0324,5099-5203,9.705-9.903,9.854
18708.645452,4244597.13,7,3,0.1261,0.0319,4333-4437,8.254-8.452,8.304
20267.134824,4193942.00,12,4,0.1246,0.0315,6361-6570,12.110-12.500,12.150
10154.867466,4070564.47,7,3,0.1209,0.0306,6228-6544,11.850-12.450,11.900
19024.898045,3833387.53,9,5,0.1139,0.0288,5073-5229,9.655-9.952,9.804
26459.484775,3755286.56,9,3,0.1116,0.0282,3651-3755,6.955-7.153,7.104
27311.924826,3528537.13,9,3,0.1048,0.0265,1945-2049,3.705-3.903,3.854
18346.330933,3179807.00,8,3,0.0945,0.0239,4307-4411,8.205-8.403,8.304
20400.562525,2912468.81,10,4,0.0865,0.0219,6545-6701,12.460-12.750,12.600
18358.870852,2849605.00,9,3,0.0847,0.0214,4150-4385,7.905-8.354,8.304
13112.889310,2733145.50,7,3,0.0812,0.0205,4863-4993,9.256-9.503,9.404
20254.611676,2672453.38,8,4,0.0794,0.0201,5808-6017,11.060-11.450,11.100
13266.476095,2601388.56,6,3,0.0773,0.0195,2023-2127,3.854-4.053,3.903
19740.080157,2421142.03,11,4,0.0719,0.0182,9879-10141,18.800-19.300,18.900
25362.222933,2396968.50,10,3,0.0712,0.0180,3861-3965,7.355-7.554,7.505
40655.007221,2305566.69,21,3,0.0685,0.0173,6755-6885,12.860-13.100,13.050
18965.657575,2026559.94,10,5,0.0602,0.0152,5283-5466,10.060-10.400,10.250
18902.805812,2022142.53,9,3,0.0601,0.0152,4705-4809,8.954-9.153,9.054
19112.279232,1974118.41,7,3,0.0587,0.0148,4810-4914,9.155-9.353,9.204
27248.974622,1946214.84,12,3,0.0578,0.0146,2470-2600,4.706-4.953,4.755
18407.160142,1764552.63,8,3,0.0524,0.0133,3966-4122,7.556-7.852,7.754
18491.340233,1647439.59,7,3,0.0490,0.0124,2181-2363,4.155-4.502,4.404
18390.318407,1616177.69,7,3,0.0480,0.0121,8829-8933,16.800-17.000,16.850
17804.576202,1612698.31,8,3,0.0479,0.0121,3808-3913,7.254-7.454,7.405
18927.668286,1372080.31,6,3,0.0408,0.0103,4045-4149,7.705-7.904,7.804
18959.731995,1253735.84,6,3,0.0373,0.0094,9879-9983,18.800-19.000,18.850
18389.158283,615990.80,8,3,0.0183,0.0046,6886-6990,13.110-13.300,13.200
10155.326823,595315.28,7,3,0.0177,0.0045,7910-8145,15.050-15.500,15.400
19740.686452,446988.16,9,4,0.0133,0.0034,7175-7646,13.660-14.550,14.500
